text,label
"Scientists discover new vaccine that prevents 99% of COVID cases in clinical trials",REAL
"Government releases new policy to improve public healthcare infrastructure",REAL
"Local elections results show record voter turnout in major cities",REAL
"NASA confirms successful launch of new Mars exploration rover",REAL
"Researchers publish study on effects of climate change on ocean temperatures",REAL
"Stock market reaches new high as economy shows signs of recovery",REAL
"New education policy aims to improve literacy rates in rural areas",REAL
"Hospital reports breakthrough in cancer treatment using immunotherapy",REAL
"City council approves budget for new public transportation system",REAL
"University study finds regular exercise improves mental health outcomes",REAL
"Scientists warn about rising sea levels due to melting polar ice caps",REAL
"Government announces new scholarships for students in STEM fields",REAL
"Tech company launches affordable smartphones for developing markets",REAL
"Doctors recommend balanced diet to reduce risk of heart disease",REAL
"International treaty signed to reduce carbon emissions globally",REAL
"SHOCKING: Drinking bleach cures all diseases doctors dont want you to know",FAKE
"ALIENS landed in New York last night government covering it up",FAKE
"Bill Gates secretly microchipping people through coffee shop wifi signals",FAKE
"Moon landing was filmed in Hollywood studio NASA admits in leaked video",FAKE
"5G towers spreading mind control signals confirmed by secret sources",FAKE
"Eating chocolate cake for breakfast cures diabetes permanently says expert",FAKE
"Secret society of lizard people controls all world governments insider reveals",FAKE
"New study proves vaccines cause autism in 90 percent of children shocking truth",FAKE
"BREAKING President secretly replaced by robot three years ago whistleblower says",FAKE
"Ancient pyramid discovered in Antarctica proves lost civilization existed say researchers",FAKE
"Miracle berry found in Amazon jungle cures cancer in 24 hours doctors shocked",FAKE
"Government adding fluoride to water supply to reduce IQ of population",FAKE
"Celebrity sells soul to devil in exchange for fame leaked contract shown",FAKE
"Scientists confirm earth is actually flat and space agencies lie about everything",FAKE
"Drinking hot lemon water every morning makes you immune to all viruses forever",FAKE
"New research confirms daily meditation reduces blood pressure significantly",REAL
"Central bank adjusts interest rates in response to inflation data",REAL
"Wildlife conservation efforts lead to recovery of endangered species population",REAL
"Engineering students win national robotics competition with innovative design",REAL
"Health ministry launches awareness campaign on importance of mental health",REAL
"Farmers adopt new irrigation techniques to improve crop yield in drought areas",REAL
"Scientists sequence genome of rare plant species found in tropical rainforest",REAL
"Local startup receives funding to develop clean energy solutions",REAL
"Archaeological dig uncovers ancient settlement dating back 3000 years",REAL
"Nutritionists advise increasing fiber intake for better digestive health",REAL
"EXPOSED billionaire politician shape shifts into reptile at private event",FAKE
"Time traveler from 2150 warns of catastrophic events coming next month",FAKE
"Secret underground city discovered beneath major capital confirms hollow earth theory",FAKE
"Big pharma hiding cure for all cancers to maximize profits insider leaks documents",FAKE
"New phone app can read your mind and send thoughts to government database",FAKE
